ticker,expiry,type,strike,last,bid,ask,mid,iv,hv,extrinsic,theta
ASML,2025-10-10,call,745.0,307.17,0.0,0.0,307.17,8.086088799643026,0.41142927905308063,49.870012207031266,-19813.10999367999
ASML,2025-10-10,call,765.0,286.5,0.0,0.0,286.5,7.589260626212877,0.41142927905308063,49.20001220703125,-19156.90303060102
ASML,2025-10-10,call,825.0,229.35,0.0,0.0,229.35,6.464240980240769,0.41142927905308063,52.050012207031244,-18194.01773653713
ASML,2025-10-10,call,820.0,231.54,0.0,0.0,231.54,6.393750452872492,0.41142927905308063,49.24001220703124,-17672.70112893963
ASML,2025-10-10,call,855.0,199.2,0.0,0.0,199.2,5.8091401308683634,0.41142927905308063,51.90001220703124,-17165.078238042464
ASML,2025-10-10,call,790.0,255.1,0.0,0.0,255.1,6.603170723870212,0.41142927905308063,42.800012207031244,-16864.640436931026
ASML,2025-10-10,call,770.0,272.73,0.0,0.0,272.73,6.8569635599674665,0.41142927905308063,40.43001220703127,-16699.888814849197
ASML,2025-10-10,call,775.0,267.74,0.0,0.0,267.74,6.752520740214239,0.41142927905308063,40.44001220703126,-16589.389670893463
ASML,2025-10-10,call,865.0,186.0,0.0,0.0,186.0,5.406062262617382,0.41142927905308063,48.70001220703125,-16083.334389506492
ASML,2025-10-10,call,740.0,298.12,0.0,0.0,298.12,7.140900620253279,0.41142927905308063,35.820012207031255,-16005.121481258686
ASML,2025-10-10,call,815.0,228.25,0.0,0.0,228.25,5.957990114351315,0.41142927905308063,40.95001220703125,-15741.355756825926
ASML,2025-10-10,call,890.0,163.0,0.0,0.0,163.0,4.9931579911795545,0.41142927905308063,50.70001220703125,-15582.16558918454
ASML,2025-10-10,call,725.0,46.05,302.4,315.6,309.0,7.121307424127396,0.41142927905308063,31.70001220703125,-15017.634482557994
ASML,2025-10-10,call,735.0,41.77,293.8,304.3,299.05,6.919387679806224,0.41142927905308063,31.75001220703126,-14863.221134200958
ASML,2025-10-10,call,785.0,250.99,0.0,0.0,250.99,6.058767376874268,0.41142927905308063,33.69001220703126,-14484.395793622256
ASML,2025-10-10,put,1170.0,204.8,0.0,0.0,204.8,4.312294585568496,0.41142927905308063,37.09998779296876,-14405.249428549627
ASML,2025-10-10,call,795.0,239.57,0.0,0.0,239.57,5.757163249022485,0.41142927905308063,32.27001220703124,-13865.729283925863
ASML,2025-10-10,call,780.0,252.78,0.0,0.0,252.78,5.918531083263858,0.41142927905308063,30.48001220703125,-13650.576262003879
ASML,2025-10-10,call,805.0,228.82,0.0,0.0,228.82,5.5077609756035155,0.41142927905308063,31.520012207031243,-13436.019234204767
